Date,Open,High,Low,Close,Volume
2022-01-03,846.08,858.34,842.74,848.08,3790461
2022-01-04,846.24,852.72,842.2,852.72,4331732
2022-01-05,853.74,860.05,850.45,850.45,1465830
2022-01-06,852.33,858.39,848.37,851.28,2425655
2022-01-07,848.8,855.02,848.08,855.02,3548081
2022-01-10,855.11,862.17,850.57,850.57,755979
2022-01-11,853.54,861.36,848.37,861.22,1534663
2022-01-12,858.07,868.19,855.84,864.96,3845747
2022-01-13,865.15,872.39,856.62,858.62,1037649
2022-01-14,861.61,864.17,850.5,852.28,5356392
2022-01-17,850.34,856.9,841.14,856.43,1789420
2022-01-18,853.74,866.27,845.33,845.51,1960576
2022-01-19,844.31,849.26,840.14,849.26,807727
2022-01-20,850.95,852.2,839.31,839.31,2205627
2022-01-21,841.49,845.48,832.36,845.48,1719256
2022-01-24,841.97,851.93,838.38,845.1,5817798
2022-01-25,848.48,854.2,841.14,854.2,1701445
2022-01-26,850.84,856.27,841.15,855.64,2634769
2022-01-27,852.94,857.57,851.58,851.58,727949
2022-01-28,852.84,861.76,843.14,843.18,1504243
2022-01-31,845.18,846.31,835.54,837.6,4566018
2022-02-01,835.55,846.45,834.79,835.68,3472148
2022-02-02,833.1,841.61,824.78,827.98,2788264
2022-02-03,828.09,832.56,826.34,832.56,4562979
2022-02-04,833.59,839.52,824.94,838.49,5154034
2022-02-07,837.13,841.77,831.52,841.77,1196626
2022-02-08,841.19,845.73,835.78,836.09,5515449
2022-02-09,838.16,840.14,827.23,827.23,996346
2022-02-10,826.78,831.23,823.36,823.36,5820185
2022-02-11,825.26,830.32,820.34,820.34,946228
2022-02-14,817.43,820.86,807.72,813.69,1397457
2022-02-15,814.51,816.8,809.42,809.42,2225345
2022-02-16,807.09,812.77,803.59,804.04,3957114
2022-02-17,802.45,811.99,801.57,801.57,2291507
2022-02-18,798.71,804.98,795.05,795.05,2385315
2022-02-21,791.96,800.43,783.94,783.94,3560740
2022-02-22,786.87,789.66,778.84,781.43,5551890
2022-02-23,781.99,785.9,771.64,774.46,3083287
2022-02-24,777.43,778.82,771.99,771.99,4929540
2022-02-25,771.27,777.47,763.38,775.85,1971728
2022-02-28,774.45,783.59,765.4,778.05,4537574
2022-03-01,774.25,784.84,765.5,776.08,3665604
2022-03-02,776.41,782.56,772.55,780.34,4371218
2022-03-03,778.85,788.45,777.16,777.16,5442663
2022-03-04,777.72,782.84,775.53,780.18,5857186
2022-03-07,783.7,787.13,777.62,777.62,1509128
2022-03-08,777.37,782.14,768.29,776.75,3464232
2022-03-09,774.05,782.84,771.25,782.71,4655812
2022-03-10,785.91,791.67,773.37,791.67,2494146
2022-03-11,793.53,802.1,791.03,791.03,2335100
2022-03-14,794.23,795.39,782.86,782.86,1492417
2022-03-15,780.75,792.68,778.11,778.11,3804809
2022-03-16,777.68,782.44,774.81,782.44,4479920
2022-03-17,785.75,787.28,781.65,787.28,5231537
2022-03-18,786.22,791.58,779.21,791.58,4235874
2022-03-21,790.2,796.3,785.67,790.83,1745276
2022-03-22,792.66,802.37,786.67,786.67,5484147
2022-03-23,788.89,791.06,786.12,791.06,3017623
2022-03-24,794.58,803.62,783.97,783.97,2391303
2022-03-25,782.39,791.38,778.4,791.02,5408001
2022-03-28,788.86,800.26,786.42,800.26,5395190
2022-03-29,797.47,806.29,788.15,788.48,1818264
2022-03-30,785.51,794.77,782.1,784.44,3097602
2022-03-31,783.87,793.69,777.85,777.85,4392318
2022-04-01,781.77,787.04,772.25,779.63,4703836
2022-04-04,781.25,790.46,777.62,790.46,4239976
2022-04-05,787.25,799.51,785.62,785.62,3340032
2022-04-06,787.48,792.51,775.8,792.51,1716459
2022-04-07,790.35,798.91,782.71,798.34,2004617
2022-04-08,797.19,806.83,794.13,801.47,1911682
2022-04-11,799.97,807.93,796.47,798.84,1028921
2022-04-12,800.37,809.07,798.09,798.09,3989706
2022-04-13,798.95,806.72,789.38,798.12,5462985
2022-04-14,796.51,803.82,791.27,803.82,793504
2022-04-15,802.76,808.21,797.78,803.09,5873316
2022-04-18,803.02,811.45,796.87,803.37,4184861
2022-04-19,800.15,805.63,799.21,799.21,1731335
2022-04-20,796.21,800.32,789.45,800.32,709617
2022-04-21,798.41,803.19,792.8,792.8,3022719
2022-04-22,796.6,800.05,789.31,800.05,879717
2022-04-25,800.76,805.44,796.55,802.07,2840051
2022-04-26,803.55,810.44,796.82,796.82,1882377
2022-04-27,798.43,800.93,793.9,797.57,3706892
2022-04-28,801.06,810.23,789.54,789.54,2656881
2022-04-29,785.9,797.87,785.21,794.7,1907565
2022-05-02,795.34,796.07,785.13,791.85,4978421
2022-05-03,791.79,793.35,784.19,792.33,2008250
2022-05-04,794.79,798.66,782.97,782.97,3569469
2022-05-05,781.33,788.61,776.98,788.61,3481331
2022-05-06,788.39,794.36,782.59,782.59,1807325
2022-05-09,782.14,791.49,779.21,779.9,1995967
2022-05-10,780.7,790.1,776.97,781.31,719163
2022-05-11,780.26,785.62,777.84,781.81,1545862
2022-05-12,778.68,787.43,773.77,787.43,4909502
2022-05-13,788.73,794.8,779.36,779.94,4158240
2022-05-16,782.01,782.94,773.39,773.39,4090453
2022-05-17,770.45,778.84,762.29,767.66,2179076
2022-05-18,767.07,770.81,758.93,770.81,3334245
2022-05-19,771.28,779.29,764.72,774.82,2909025
2022-05-20,773.94,775.37,764.22,768.02,5847473
2022-05-23,767.37,777.93,762.36,766.5,2546549
2022-05-24,765.3,771.82,755.31,768.69,1346119
2022-05-25,772.58,778.62,760.0,778.45,5352770
2022-05-26,775.51,785.05,767.15,771.54,1555467
2022-05-27,774.83,782.52,770.48,770.48,1723673
2022-05-30,768.87,778.97,768.25,778.46,5803548
2022-05-31,777.17,779.84,776.55,779.84,4155625
2022-06-01,779.39,781.0,775.25,775.25,2008553
2022-06-02,779.05,786.58,773.38,774.16,5091753
2022-06-03,772.15,782.79,767.54,771.25,3696184
2022-06-06,769.05,780.76,764.16,776.22,1694034
2022-06-07,776.04,784.54,772.04,784.54,5803768
2022-06-08,784.75,785.5,774.65,779.18,3413150
2022-06-09,779.14,781.41,771.52,781.41,4286741
2022-06-10,778.38,785.53,769.34,770.08,2279348
2022-06-13,771.34,773.63,765.33,773.63,4914507
2022-06-14,772.75,776.72,768.37,769.66,2249997
2022-06-15,771.39,781.15,768.24,773.49,4416536
2022-06-16,775.64,780.52,767.81,767.81,1571967
2022-06-17,767.95,772.58,766.06,772.58,1051135
2022-06-20,775.07,779.74,763.06,763.06,4377230
2022-06-21,761.61,767.47,753.18,753.18,4166802
2022-06-22,753.09,759.71,748.56,754.73,2205556
2022-06-23,754.64,762.18,748.7,761.6,1446544
2022-06-24,761.95,770.1,756.52,757.8,5324385
2022-06-27,759.33,764.88,750.72,764.88,3541414
2022-06-28,764.55,769.5,756.55,756.55,4482471
2022-06-29,757.15,761.71,749.53,761.71,2733210
2022-06-30,761.38,766.35,757.01,766.35,5105684
2022-07-01,762.55,770.2,755.57,756.76,4372102
2022-07-04,752.94,764.87,750.13,764.87,1016256
2022-07-05,765.55,772.01,762.52,762.52,917256
2022-07-06,761.69,767.78,759.48,759.48,3480040
2022-07-07,758.21,767.71,750.17,755.18,4616720
2022-07-08,751.2,757.85,745.16,757.85,2644288
2022-07-11,757.4,760.03,756.51,760.03,4613273
